treatments,temp,stirr.vel,time.extract,salt
T1,20,500,5,5
T1,20,500,5,5
T1,20,500,5,5
T2,20,1000,5,5
T2,20,1000,5,5
T2,20,1000,5,5
T3,20,500,30,5
T3,20,500,30,5
T3,20,500,30,5
T4,20,1000,30,5
T4,20,1000,30,5
T4,20,1000,30,5
T5,20,500,5,20
T5,20,500,5,20
T5,20,500,5,20
T6,20,1000,5,20
T6,20,1000,5,20
T6,20,1000,5,20
T7,20,500,30,20
T7,20,500,30,20
T7,20,500,30,20
T8,20,1000,30,20
T8,20,1000,30,20
T8,20,1000,30,20
T9,20,750,17.5,12.5
T9,20,750,17.5,12.5
T9,20,750,17.5,12.5
T10,35,500,17.5,12.5
T10,35,500,17.5,12.5
T10,35,500,17.5,12.5
T11,35,1000,17.5,12.5
T11,35,1000,17.5,12.5
T11,35,1000,17.5,12.5
T12,35,750,5,12.5
T12,35,750,5,12.5
T12,35,750,5,12.5
T13,35,750,30,12.5
T13,35,750,30,12.5
T13,35,750,30,12.5
T14,35,750,17.5,5
T14,35,750,17.5,5
T14,35,750,17.5,5
T15,35,750,17.5,20
T15,35,750,17.5,20
T15,35,750,17.5,20
T16,35,750,17.5,12.5
T16,35,750,17.5,12.5
T16,35,750,17.5,12.5
T17,35,750,17.5,12.5
T17,35,750,17.5,12.5
T17,35,750,17.5,12.5
T18,35,750,17.5,12.5
T18,35,750,17.5,12.5
T18,35,750,17.5,12.5
T19,50,500,5,5
T19,50,500,5,5
T19,50,500,5,5
T20,50,1000,5,5
T20,50,1000,5,5
T20,50,1000,5,5
T21,50,500,30,5
T21,50,500,30,5
T21,50,500,30,5
T22,50,1000,30,5
T22,50,1000,30,5
T22,50,1000,30,5
T23,50,500,5,20
T23,50,500,5,20
T23,50,500,5,20
T24,50,1000,5,20
T24,50,1000,5,20
T24,50,1000,5,20
T25,50,500,30,20
T25,50,500,30,20
T25,50,500,30,20
T26,50,1000,30,20
T26,50,1000,30,20
T26,50,1000,30,20
T27,50,750,17.5,12.5
T27,50,750,17.5,12.5
T27,50,750,17.5,12.5
